Time,UID,PID,%usr,%system,%guest,%wait,%CPU,CPU,minflt/s,majflt/s,VSZ,RSS,%MEM,Command
20时00分57秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,9.00,2.00,2774584,209272,5.28,java

20时00分58秒,1000,3590,1.00,1.00,0.00,0.00,1.01,0,0.00,0.00,2774584,209272,5.28,java

20时00分59秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,209272,5.28,java

20时01分00秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,62.00,11.00,2774584,209528,5.29,java

20时01分01秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,209528,5.29,java

20时01分02秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,209528,5.29,java

20时01分03秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,58.00,10.00,2774584,209784,5.30,java

20时01分04秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,1.00,0.00,2774584,209784,5.30,java

20时01分05秒,1000,3590,1.00,0.00,0.00,0.00,0.50,0,0.00,0.00,2774584,209784,5.30,java

20时01分06秒,1000,3590,4.00,0.00,0.00,0.00,2.00,0,4.00,0.00,2774584,209784,5.30,java

20时01分07秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,2774584,209784,5.30,java

20时01分08秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,2774584,209784,5.30,java

20时01分09秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,2.00,1.00,2774584,209784,5.30,java

20时01分10秒,1000,3590,1.00,0.00,0.00,0.00,0.51,0,1.00,0.00,2774584,209784,5.30,java

20时01分11秒,1000,3590,0.00,1.00,0.00,0.00,0.50,0,0.00,0.00,2774584,209784,5.30,java

20时01分12秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,9.00,2.00,2774584,209784,5.30,java

20时01分13秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,209784,5.30,java

20时01分14秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,209784,5.30,java

20时01分15秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,12.00,1.00,2774584,209912,5.30,java

20时01分16秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,1.00,0.00,2774584,209912,5.30,java

20时01分17秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,1.00,1.00,2774584,210040,5.30,java

20时01分18秒,1000,3590,1.00,0.00,0.00,0.00,0.51,0,3.00,0.00,2774584,210040,5.30,java

20时01分19秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,2774584,210040,5.30,java

20时01分20秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,2774584,210040,5.30,java

20时01分21秒,1000,3590,0.00,0.00,0.00,0.00,0.00,0,37.00,6.00,2774584,210168,5.31,java

